Count,Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6,Top_indice_1,Top_indice_2,Top_indice_3
72,2710113.500000, 10018395.000000, 9791202.000000, 5115267.000000, 2844959.750000, 1313432.500000,0,45,46
73,2835751.000000, 6855927.000000, 7883972.500000, 6259653.500000, 3156323.250000, 1134555.875000,0,112,50
74,1740884.250000, 8694429.000000, 7144884.500000, 2129512.000000, 1755205.750000, 1458396.250000,0,54,51
75,2191757.250000, 10387949.000000, 6047080.000000, 3582181.000000, 2692255.000000, 1769171.500000,0,47,48
76,2181621.750000, 8224713.000000, 4461214.000000, 2566575.250000, 1439734.750000, 822501.375000,0,47,46
77,1579451.625000, 11508940.000000, 8742458.000000, 2855035.750000, 2208252.250000, 1937668.500000,0,47,48
78,2015359.125000, 8156113.500000, 6204616.500000, 2148022.500000, 1466046.375000, 1195012.250000,0,51,52
79,3101699.250000, 12522145.000000, 10238584.000000, 3957018.750000, 3170504.500000, 1222490.625000,0,43,51
80,2093204.125000, 12459590.000000, 8088841.500000, 4002879.000000, 2663981.000000, 1496019.625000,0,46,45
81,1672195.125000, 11114915.000000, 8985531.000000, 3897208.500000, 2188286.250000, 1692670.625000,0,48,47
